ts,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1706690436.9129384,0.0512862682342529,300.8,6.0,96.0,2395.203273352408,2395.203273352408,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.3,1706690436.9129384,1706690436.8616524,3925388004.574819,1706690436.881735,0.0235913578359664,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,520.4,57.9,181.0,88.57436507936508,46.4195052924804,113.6,170669043.9216403,5.5,546304.0,13.243795565214963,65.64709394327545,3634.0021745401855,0.9,38.5,0.0,0.0,0.0,0.0,512007131.1582581,0.0512862682342529
1706690450.2754998,10.617052936553955,530.8,10.4,96.0,2.0653044437654526,2.0653044437654526,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.3,1706690450.2754998,1706690439.658447,7338768911.80028,1706690443.863021,4.956672123677882,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1668.4,54.0,324.0,108.37143552525905,84.7299373116061,89.4,170669047.0584929,13.5,546304.0,14.7367834903742,119.9910248067381,7239.368796805565,1.0,244.6,0.0,0.0,0.0,0.0,170669047.7433223,10.617052936553955
1706690459.9655194,20.86453628540039,893.2,8.2,96.0,0.4144423835057883,0.4144423835057883,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.8,1706690459.9655194,1706690439.1009831,13482854552.422268,1706690449.6548295,8.451466904166214,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,813.2,78.9,320.6,171.52492063492065,105.27141951247548,120.4,1.4063786029815677,5.5,546304.0,18.32715244740412,148.8762692048105,12410.293710254473,0.9,38.5,0.0,0.0,0.0,0.0,3.131781721115112,20.86453628540039
1706690474.6367545,35.39471218585968,1721.8,8.2,96.0,0.3610387302597786,0.3610387302597786,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,11.2,1706690474.6367545,1706690439.2420423,21674968782.930424,1706690455.390182,11.686915200982174,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,2055.4,54.0,328.2,133.48148748568252,107.64325443004093,123.9,170669049.0834544,13.5,546304.0,16.35662639504607,152.42206578726706,11637.104982089711,1.0,244.6,0.0,0.0,0.0,0.0,4.479098391532898,35.39471218585968
1706690483.0893607,16.71400728225708,965.4,8.2,102.4,1307.622973648314,1307.622973648314,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.0,1706690483.0893607,1706690466.375353,13482854684.392818,1706690474.5240998,5.71047061055401,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,503.2,57.5,118.6,90.26527777777778,24.22173022851113,92.0,0.5317389011383057,5.5,546304.0,13.425195787001432,34.25469939330281,663.5620508156967,0.9,38.5,0.0,0.0,0.0,0.0,170669049.53280038,16.71400728225708
1706690488.5887432,45.475985860824586,1725.7,6.0,96.0,0.8470325801144005,0.8470325801144005,0.0,0.2,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.4,0.0,0.0,5.1,16.2,1706690488.5887432,1706690443.1127574,27648385535.346752,1706690466.4866753,15.365398643587534,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1629.2,54.0,299.8,105.01965801913946,72.26855872301755,105.8,170669049.6920571,13.5,546304.0,14.499179313311876,102.38303137937912,5484.678816244921,1.0,244.6,0.0,0.0,0.0,0.0,1.9278889179229737,45.475985860824586
1706690495.2485318,57.48354089260101,1292.5,10.4,89.6,0.203588252461396,0.203588252461396,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.2,0.0,0.0,2.8,6.7,1706690495.2485318,1706690437.7649908,19968278447.3466,1706690463.1492229,21.91624018949775,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,527.1,54.0,136.5,91.39809523809524,32.32972843816204,115.5,1.1959128856658936,5.5,546304.0,13.46916050723309,45.72114042508789,1289.890558956916,0.9,38.5,0.0,0.0,0.0,0.0,9.429226064682007,57.48354089260101
1706690505.700685,45.73721625804901,3087.7,9.3,70.7,0.6073224119233587,0.6073224119233587,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10.3,20.3,1706690505.700685,1706690459.963469,35328492770.79749,1706690482.5263274,14.590443406502374,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1832.9,54.0,322.8,118.1287206068785,81.88926272590922,136.6,170669051.58897513,13.5,546304.0,15.335368409075777,115.7258342033726,6723.163220973502,1.0,244.6,0.0,0.0,0.0,0.0,341338102.0796251,45.73721625804901
1706690513.6473875,39.26785554885864,2229.8,13.7,51.7,0.9316362478410672,0.9316362478410672,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,5.2,10.2,1706690513.6473875,1706690474.3795323,25429688156.30792,1706690493.242984,12.092581495239966,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1079.2,138.9,245.0,199.86388888888888,36.796740242514346,201.9,0.9305743932724,5.5,546304.0,19.98257301416857,52.038449102083646,2069.814033950617,0.7,38.5,0.0,0.0,0.0,0.0,2.942700791358948,39.26785554885864
1706690528.2394156,88.43990967273712,4221.5,10.4,89.6,0.3428413544856927,0.3428413544856927,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,11.7,23.1,1706690528.2394156,1706690439.7995062,52054059725.97105,1706690482.777753,27.05985012886365,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2538.5,54.0,325.0,166.02826818305533,83.58897322998476,114.3,170669054.80077818,13.5,546304.0,18.165031177400053,117.553714477279,6911.842471198781,1.0,244.6,0.0,0.0,0.0,0.0,3.639299964904785,88.43990967273712
1706690540.6651585,87.78593063354492,3900.0,8.2,96.0,0.3104208082115044,0.3104208082115044,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,12.7,24.7,1706690540.6651585,1706690452.8792274,49494024215.28585,1706690491.9735353,28.92043988773863,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,710.9,54.0,297.9,130.22650793650794,92.65998316752528,115.3,1.025235605239868,5.5,546304.0,15.987945498392984,131.04100488477692,9838.794885991436,0.9,38.5,0.0,0.0,0.0,0.0,7.529133725166321,87.78593063354492
1706690547.5201497,107.00072267055512,2677.5,6.0,102.4,0.2078789120608489,0.2078789120608489,0.0,0.2,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.7,0.0,0.0,11.6,22.4,1706690547.5201497,1706690440.5194273,38229867039.447365,1706690491.209792,39.252108718636016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1605.7,54.0,325.0,103.70926051760416,76.2770479565545,112.1,170669055.7049494,13.5,546304.0,14.320960212973228,106.2221800140663,5664.049377797297,1.0,244.6,0.0,0.0,0.0,0.0,6.422075796127319,107.00072267055512
1706690555.5421572,115.65011673503452,5483.555555555556,10.88888888888889,92.44444444444444,0.3444503095861236,0.3444503095861236,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,14.555555555555555,28.88888888888889,1706690555.5421572,1706690439.8920405,67888355377.4922,1706690498.2301602,35.60721031611726,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,450.22222222222223,54.0,118.0,87.5925925925926,28.29824597916736,93.33333333333331,1.2456503444247775,5.0,546304.0,13.19350008709361,40.01976325510839,904.6905202821868,0.8888888888888888,31.666666666666668,0.0,0.0,0.0,0.0,2.6327528953552246,115.65011673503452
